Juanita H Hinshaw,director,WMB
Juanita H Hinshaw,director,INSU
Evan Jay Silverstein,director,RRI
Joel F Gemunder,director,UTEK
Joel F Gemunder,director,OCR
Joel F Gemunder,director,CHE
Miriam E John,director,SAI
Frank R Noonan,director,AVT
Melvin O Wright,director,SFD
Richard L Clemmer,director,ITWO
Gregory J Szabo,director,SMSI
George L Fotiades,director,ACV
Ulice Payne Jr,director,WEC
Ulice Payne Jr,director,None
Ulice Payne Jr,director,MAN
Robert L Bagby,director,NAFC
Justine Lien,director,TWLL
Michael Jesselson,director,AEO
contrib1556,contributor,GE
contrib1556,amount,5000.0
contrib1556,recipient,Pete King
Daniel Agroskin,director,PGTI
Geoffrey W Squire,director,INFA
Rosemary T. Berkery,director,MER
Shirley D Peterson,director,AKS
Shirley D Peterson,director,CHB
Shirley D Peterson,director,GT
Robert K Montgomery,director,VIRC
Robert J Karow,director,ATPG
Richard E. Belluzzo,director,QTM
Richard E. Belluzzo,director,PMCS
Brian L. Roberts,director,CMCSA
SPR,industry,"Aircraft Parts and Auxiliary Equipment, NEC"
SPR,industry,Arms industry
SPR,industry,Aerospace
SPR,revenue,3207700000.0
SPR,name,Spirit AeroSystems
SPR,headquarters,Wichita_Kansas
Michael J Birck,director,MOLX
Michael J Birck,director,ITW
Meg Whitman,director,SPLS
Meg Whitman,director,GPS
Meg Whitman,director,DWA
Meg Whitman,director,PG
Meg Whitman,director,EBAY
Marshall C. Turner,director,WFR
Marshall C. Turner,director,XLNX
WEN,industry,Eating and Drinking Places
WEN,industry,Restaurant
WEN,industry,Fast food
WEN,revenue,2439300000.0
WEN,name,Wendy's International
WEN,headquarters,Dublin_Ohio
Stephen C Wood,director,SWIM
Robert B. Palmer,director,AMD
William T. Clifford,director,KANA
SPN,industry,Petroleum
SPN,industry,"Oil and Gas Field Services, NEC"
SPN,revenue,1093800000.0
SPN,name,Superior Energy Services
SPN,headquarters,Harvey_Louisiana
William M Rusty Rush,director,RUSHB
Reginald K Brack,director,IPG
William D Davis,director,GMCR
Daniel M Mulvena,director,THOR
Margaret Milner Richardson,director,LM
Margaret Milner Richardson,director,JTX
Uzia Galil,director,ZRAN
David V Singer,director,LNCE
SNSS,industry,Pharmaceutical Preparations
SNSS,revenue,13700000.0
SNSS,name,Sunesis Pharmaceuticals
SNSS,headquarters,South_San_Francisco_California
Theresa M Stone,director,PGN
John Maraganore,director,ALNY
Thomas Volpe,director,LLTC
TRAD,industry,"Investment Banking"
TRAD,revenue,128500000.0
TRAD,name,TradeStation Group Inc
TRAD,headquarters,Plantation_Florida
Richard C E Morgan,director,CELG
Frederick M Danziger,director,MNRO
Frederick M Danziger,director,GRIF
M Richard Asher,director,ERTS
Roy S Roberts,director,BNI
Roy S Roberts,director,ABT
contrib252,contributor,T
contrib252,amount,5000.0
contrib252,recipient,Dave Camp
John F. Turner,director,BTU
John F. Turner,director,AEP
John F. Turner,director,ASH
John F. Turner,director,NU
John F. Turner,director,IP
contrib250,contributor,T
contrib250,amount,5000.0
contrib250,recipient,John Campbell
contrib251,contributor,T
contrib251,amount,3250.0
contrib251,recipient,Jerry Moran
contrib256,contributor,T
contrib256,amount,3000.0
contrib256,recipient,Jeff Fortenberry
contrib257,contributor,T
contrib257,amount,3000.0
contrib257,recipient,Ted Poe
contrib254,contributor,T
contrib254,amount,3000.0
contrib254,recipient,John Culberson
contrib255,contributor,T
contrib255,amount,4000.0
contrib255,recipient,Kay Granger
Jim Breyer,director,RNWK
Jim Breyer,director,MVL
Jim Breyer,director,WMT
contrib258,contributor,T
contrib258,amount,3000.0
contrib258,recipient,Eliot L. Engel
contrib259,contributor,T
contrib259,amount,3750.0
contrib259,recipient,Rodney Alexander
Raymond Debbane,director,WTW
TWP,industry,Lumber
TWP,revenue,337000000.0
TWP,name,"Trex Company, Inc."
TWP,headquarters,Winchester_Virginia
Margaret S Dano,director,SUP
JNS,industry,Investment Advice
JNS,revenue,1026700000.0
JNS,name,Janus Capital Group
JNS,headquarters,Denver_Colorado
John G Turner,director,HRL
CGPI,industry,Pharmaceutical Preparations
CGPI,name,"CollaGenex Pharmaceuticals, Inc."
CGPI,revenue,26400000.0
Michael L Smith,director,HGG
Michael L Smith,director,ITMN
Michael L Smith,director,VVC
Michael L Smith,director,CLMT
JNY,industry,"Women's, Misses' and Juniors' Suits, Skirts, and Coats"
JNY,industry,"Women's, Misses', and Juniors' Dresses"
JNY,industry,"Women's, Misses', and Juniors' Outerwear, NEC"
JNY,industry,Clothing
JNY,industry,"Women's, Misses', and Juniors' Blouses and Shirts"
JNY,revenue,4742800000.0
JNY,name,Jones Apparel Group
JNY,headquarters,Bristol_Pennsylvania
Frank L Hohmann III,director,MSC
Mark A Ernst,director,GXP
Mark A Ernst,director,HRB
